videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
b36aZQe0Nt4,HOW TO SETUP APPLE AIRPODS! Best Wireless Headphones for iPhone!,UC55Jb99LT3IINRY_g5V6rtA,Andru Edwards,2016-12-20,1624711,9146,1206,546,65554267,227000,1187,27.392711639404297,2016-12-19,27.36452674865723,2016-12-23
p5aaOtJ0PyU,Galaxy Buds Live vs Apple AirPods Showdown,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-08-13,1601052,32848,1309,3153,3919176638,17600000,1874,112.81536865234376,2020-08-12,115.50821685791016,2020-08-19
entaNxaezRo,The $99 Apple AirPods Killers,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-03-06,1567958,34991,1447,2472,3919176638,17600000,1874,72.1843032836914,2020-03-05,61.17134094238281,2020-03-12
BJ2TxY7puEM,My Apple AirPods Confession,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2019-03-13,1510228,46934,2748,4807,3919176638,17600000,1874,44.00568008422852,2019-03-12,45.37272262573242,2019-03-19
cYuL6pHfbTU,Powerbeats Pro sound better than Apple&#39;s AirPods,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2019-04-03,1552434,18230,737,1951,1291833565,2900000,19967,47.19464111328125,2019-04-02,48.527626037597656,2019-04-09
mdOSPBrqc7E,AirPods Max: Everything we know,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-12-09,135477,2675,170,702,1291833565,2900000,19967,,,,
HTeFoIUlAkA,AirPods Max hands-on: New noise-canceling king,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-12-10,131561,3127,390,772,1291833565,2900000,19967,,,,
Cd4N5v-O3uk,Airpods 2 with Wireless Charging Unboxing &amp; First Look - Truly Magical🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-04-11,1536258,38379,2223,2326,2390693892,20300000,3456,48.8000602722168,2019-04-10,49.41061019897461,2019-04-17
I2-M9nvbsio,2000₹ Fake Apple AirPods Pro Unboxing &amp; First Look - 100% Fake But 100% Same🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-12-30,1259688,52700,2396,3507,2390693892,20300000,3456,71.24635314941406,2019-12-27,73.12215423583984,2020-01-03
1DSCo47MMbE,Airpods Pro Unboxing &amp; First Look - Airpods Pro Vs Airpods? Noise Cancelling &quot;PRO&quot;🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-10-30,1166973,45559,2021,3642,2390693892,20300000,3456,59.63299179077149,2019-10-29,63.02532577514648,2019-11-05
6r33bTc265I,"Apple AirPods Max Are Here - ₹59,900 Apple Headphones🎧🔥🔥🔥",UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-12-09,744688,68867,3186,7741,2390693892,20300000,3456,,,,
gOK5SQJ1QB0,Beats Powerbeats Pro Unboxing &amp; First Look - Better than Apple Airpods???🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-10-23,367117,25560,763,2165,2390693892,20300000,3456,58.81677627563477,2019-10-22,59.63299179077149,2019-10-29
V4NWwUuVIrM,КУПИЛ ПОДДЕЛЬНЫЕ Apple AirPods!,UCWulcHbwtGVFehAMY4wnzQA,F.ua — О девайсах понятным языком,2019-01-11,1505799,25088,2966,1889,181304801,654000,1703,37.25151062011719,2019-01-10,37.75045394897461,2019-01-17
ps0rWwQAJHg,Apple AirPods unboxing preview en español | 4K UHD,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2017-01-03,1493033,25056,1306,1478,403557137,2350000,1985,27.20013427734375,2016-12-30,27.944602966308594,2017-01-09
Bn4bgouatjI,Apple AIRPODS 2 unboxing -ADIÓS AirPower-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2019-04-09,646056,12007,451,683,403557137,2350000,1985,48.67356872558594,2019-04-08,48.46194839477539,2019-04-15
1LBuf09MvgY,Apple AirPods PRO -RUIDO a discreción!!!-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2019-12-15,350496,8220,254,476,403557137,2350000,1985,67.64470672607422,2019-12-13,68.69938659667969,2019-12-20
OsDw5N9AQcE,Realme Buds Air vs Apple Airpods 2 -¿solo una cuestión de PRECIO?-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2020-02-06,104051,2570,99,168,403557137,2350000,1985,79.02740478515625,2020-02-05,80.63192749023438,2020-02-12
uFONoN0zmLg,Apple Airpods vs Apple Lightning Headphones,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,2017-02-13,1478314,34825,934,5605,1232694526,6480000,796,31.16268920898437,2017-02-10,32.01181030273437,2017-02-17
eMYnRY-8xE0,AIRPODS de Apple: cómo sacarles todo el partido | ChicaGeek,UCGdlvijxkue8x5AyBrBUljQ,ChicaGeek,2018-10-15,1393213,36036,1407,1155,51334079,482000,608,53.60964965820313,2018-10-12,52.93382263183594,2018-10-19
3fPNnfQumHw,SPOT THE DIFFERENCE: Real Apple Airpods VS Fake Airpods. What Do You Think??,UCyszDMOdoIqQxpdMih3e4Ag,AllSortz,2018-11-22,1277949,8030,3710,2247,11401742,33300,578,42.81742858886719,2018-11-21,43.82501220703125,2018-11-28
_lbYW-FIaug,I11-tws VS Apple Airpods,UCIfMka3q_tcPOYeiEZr3zjA,Custom Adventurist,2019-01-10,1243480,12863,637,805,12758810,43500,215,37.13282012939453,2019-01-09,37.52762985229492,2019-01-16
scoCVAk7_JI,Beats X Wireless vs Apple AirPods!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2017-02-09,1240283,33365,735,1905,425602222,2660000,1200,31.00937271118164,2017-02-08,31.962276458740234,2017-02-15
-dkfZuT7OCE,Apple AirPods 2 vs Samsung Galaxy Buds!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2019-03-31,815711,23280,816,2003,425602222,2660000,1200,46.20462036132813,2019-03-29,47.91950607299805,2019-04-05
nIk8YnCGckw,$549 AirPods Max Impressions: Has Apple Lost Their Minds?,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2020-12-08,310635,11517,547,2358,425602222,2660000,1200,123.08000183105469,2020-12-02,,
p6l4sNjSKdY,AirPods - Unboxing and Review,UCiQMYozSSTkJ2twtZM1bG9w,zollotech,2016-12-20,1200950,11152,437,1043,294296116,841000,2632,27.392711639404297,2016-12-19,27.36452674865723,2016-12-23
QN9UrusZ8ls,Apple AirPods Pro — первый обзор,UCRP4EhX1Op-jL7D87PB3qhQ,808,2019-10-30,1195161,57925,2127,26989,429262392,2510000,512,59.63299179077149,2019-10-29,63.02532577514648,2019-11-05
if5_fK8F4ow,Полный обзор наушников Apple AirPods,UCRP4EhX1Op-jL7D87PB3qhQ,808,2016-09-15,1128305,14343,1716,925,429262392,2510000,512,26.114919662475586,2016-09-14,26.53081130981445,2016-09-21
ZHRgpdsYJow,Apple AirPods: Die 10 wichtigsten Einstellungen,UCXeBejAs0cIw4a3UFy1SuIg,COMPUTER BILD,2017-06-22,1151537,14561,1034,756,84133822,149000,2423,34.547866821289055,2017-06-21,34.53839492797852,2017-06-28
pzpu9pL8qoA,"Apple AirPods 2: Tipps, Hilfe, Funktionen | deutsch",UCXeBejAs0cIw4a3UFy1SuIg,COMPUTER BILD,2019-10-28,282545,4341,161,339,84133822,149000,2423,60.43940734863281,2019-10-25,62.70423126220703,2019-11-01
i_ITC7AHdEg,Apple AirPods 2: Zweite Generation ausgepackt!,UCXeBejAs0cIw4a3UFy1SuIg,COMPUTER BILD,2019-03-27,249106,2807,222,321,84133822,149000,2423,45.43595886230469,2019-03-26,47.19464111328125,2019-04-02
ShKUE2Gk6Es,"Rasanya pake AirPods Pro, headset Rp4 juta dari Apple.",UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-11-04,1105347,23025,610,2197,1152602607,6480000,914,62.70423126220703,2019-11-01,63.95454406738281,2019-11-08
YX9V3DEFTRc,AKHIRNYA DAPET! Unboxing Apple New Airpod 2!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-06-09,989351,29173,919,2171,1152602607,6480000,914,46.43139266967773,2019-06-07,47.06382369995117,2019-06-14
non3wgqwmS0,Les AirPods d&#39;Apple valent-ils 179€ ?! (Test Complet),UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2017-01-04,1055186,30127,1197,2401,389253721,2110000,1435,27.27763938903809,2017-01-03,27.97278594970703,2017-01-10
1z39FTgcrEM,J&#39;ai acheté les AirPods d&#39;Apple à 179€ !,UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2016-12-21,887559,25484,1599,2753,389253721,2110000,1435,27.46551513671875,2016-12-20,27.53831672668457,2016-12-27
RE7xzLzp52w,Apple AirPods Teardown with iFixit,UCwY9B5_8QDGP8niZhBtTh8w,TWiT Tech Podcast Network,2017-01-08,992787,5074,1216,351,60812264,223000,15578,27.69097137451172,2017-01-06,27.95635032653809,2017-01-13
c_DUWw2momA,[DIY] Leather Apple AirPods case making / wet forming leather,UCJYSHaxWbDhYgh-PH0nashw,HAHNS ATELIER,2019-04-12,987323,23564,464,1151,18315481,298000,145,48.393836975097656,2019-04-11,49.58818054199219,2019-04-18
N-n4U3-j9dw,AirPods Pro review: the perfect earbuds for the iPhone,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-11-01,975387,16745,613,1146,873786498,3080000,3949,60.9737434387207,2019-10-31,63.779991149902344,2019-11-07
khxwPHj-j2s,Apple AirPods 2 review: even more wireless,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-03-29,499819,6214,511,498,873786498,3080000,3949,45.90542602539063,2019-03-28,47.60085678100586,2019-04-04
uayCJxVy7rU,Apple AirPods review,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2016-12-20,465249,6866,675,756,873786498,3080000,3949,27.392711639404297,2016-12-19,27.36452674865723,2016-12-23
a6iFZp1HoHI,سماعات آبل AirPods الجيل الثاني هل تستحق الشراء؟ Apple Airpods 2,UCMM1y0hm7qXW8yGJ6DeQeSQ,UTD Saudi فيصل السيف,2019-03-28,952119,26073,630,1083,365585837,3090000,1519,45.8446159362793,2019-03-27,47.51815414428711,2019-04-03
mpWOlhriVW0,Real vs Fake - Apple Airpods vs i10 TWS,UCFfCqe7b9YiDk2ZiAG8UIGA,Flossy Carter,2019-03-01,929093,18183,571,2830,274366426,1610000,2140,42.11808776855469,2019-02-28,41.9599723815918,2019-03-07
aQ8TrdA5E7E,Huawei Freebuds 2 Pro - Better Than Apple Airpods?,UCFfCqe7b9YiDk2ZiAG8UIGA,Flossy Carter,2019-01-18,925435,15395,838,1904,274366426,1610000,2140,37.75045394897461,2019-01-17,36.98507690429688,2019-01-24
NPWCuA_8Zws,Apple Airpods 2 &quot;Real Review&quot;,UCFfCqe7b9YiDk2ZiAG8UIGA,Flossy Carter,2019-03-29,294630,10440,239,2317,274366426,1610000,2140,45.90542602539063,2019-03-28,47.60085678100586,2019-04-04
jkUMblxVV5c,Apple AirPods 2: Unboxing &amp; Review,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2019-04-03,893352,9287,337,824,152937367,626000,238,47.19464111328125,2019-04-02,48.527626037597656,2019-04-09
TjedP6NgOXo,Why Apple&#39;s AirPods Are So Popular,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2019-01-26,685658,13936,685,2900,152937367,626000,238,38.21064758300781,2019-01-25,40.3323860168457,2019-02-01
-G2UqThvTnc,Traveling Apple AirPods Review,UC6OICk-ceplUJf4sCN3DMnQ,Tyler Stalman,2017-03-31,890073,15889,545,1179,24469839,283000,130,33.94826889038086,2017-03-30,33.884593963623054,2017-04-06
4yvcfkTNzrE,1900TL’lik &quot;ORİJİNAL” AirPods PRO&#39;yu PARÇALADIK!,UCQ7H6E_x7aNK4xdyYbilLQg,TAA,2019-11-29,859769,32009,1220,1748,100175134,808000,114,65.84756469726561,2019-11-27,65.29194641113281,2019-12-05
grjkeXTB72g,Копия Apple AirPods и Apple Watch c AliExpress! Я в ШОКЕ!,UCF71l11-rFVB-bmKBp2PFOA,Букреев,2019-08-20,838582,30041,1829,1118,229963852,1630000,1011,51.55904769897461,2019-08-19,50.6129150390625,2019-08-26
yg6jv2DI048,How to use Apple EarPods ( Headphones ) on Xbox One,UChY9Cgv-iyPDvf1Bkyx20OQ,My Mate VINCE,2018-07-23,823973,7979,597,617,277802888,660000,1099,46.04548645019531,2018-07-20,45.93484878540039,2018-07-27
2JXUWd20aNw,Destroying my family&#39;s APPLE AIRPODs PRANK!,UCBKeLaZm7TMxw6PTICVhWbQ,jase,2019-12-21,804751,8955,344,910,2663384,49000,59,68.69938659667969,2019-12-20,71.24635314941406,2019-12-27
oH2cZrEv934,How to ● Clean Apple EarPods or AirPods ( properly ! ),UCrnCSQJB4c1_rOKJRzSZemg,Chris Notap,2016-08-16,801101,9325,572,1066,186836246,799000,239,25.57986831665039,2016-08-15,25.35322189331055,2016-08-22
bOg319-o6Ks,Using Apple Airpods with Galaxy S10 Plus...,UCwgP40E6FHIqB2eBoJk5AfQ,Average Tech Guy,2019-03-11,792266,9113,515,745,19049980,60100,1043,42.05970764160156,2019-03-08,45.272987365722656,2019-03-15
AvIQeohgPD8,Using Apple Airpods 2 with Samsung Galaxy Note 10+...,UCwgP40E6FHIqB2eBoJk5AfQ,Average Tech Guy,2019-08-24,368786,4600,200,357,19049980,60100,1043,49.66923904418945,2019-08-23,51.1644172668457,2019-08-30
JH-fFfAWldc,AirPods Pro vs AirPods: Which Should You Buy?,UCMgCvJ3_QahXgvwj6LjOd-w,Soldier Knows Best,2019-11-02,793243,14901,280,1615,209096327,802000,1642,62.70423126220703,2019-11-01,63.95454406738281,2019-11-08
eU7ANMsFnlM,OnePlus Buds vs Apple AirPods - This Might Surprise You,UCMgCvJ3_QahXgvwj6LjOd-w,Soldier Knows Best,2020-07-21,388179,6721,205,422,209096327,802000,1642,98.01139068603516,2020-07-20,94.4763641357422,2020-07-27
Dh-ia81C5Ko,Apple Wireless AirPods Review With It&#39;s Pros &amp; Cons,UCO2WJZKQoDW4Te6NHx4KfTg,Geekyranjit,2017-12-19,777038,10626,867,933,693016597,3130000,2915,42.09820938110352,2017-12-18,41.76174926757813,2017-12-22
2d_k59H4cik,Samsung Galaxy Buds vs Apple AirPods Review,UCO2WJZKQoDW4Te6NHx4KfTg,Geekyranjit,2019-03-01,441926,7381,636,788,693016597,3130000,2915,42.11808776855469,2019-02-28,41.9599723815918,2019-03-07
m-1gUUsKpMk,APPLE AIRPODS: VALE A PENA? (REVIEW),UCCbD39MVnMsTLGxsHLnOKlg,Loop Infinito,2017-01-19,737383,34360,525,1243,153951378,980000,1452,28.17945671081543,2017-01-18,28.623313903808594,2017-01-25
aoSFrUhSgCI,APPLE AIRPODS PRO: 2 Professional Audio Engineers Trying Them For the First Time,UCEAMLkMKtq6YhmaZdUT1ywA,This is Tech Today,2019-11-14,737362,15060,947,1188,12597434,151000,125,65.01905059814453,2019-11-13,64.70437622070311,2019-11-20
QbKmVo1XOrU,Apple AirPods Unboxing &amp; Review,UCm2TEW6GMo-uUEnAuk-kyCw,jose Tecnofanatico,2016-12-21,730154,14287,614,849,369736953,2030000,3250,27.46551513671875,2016-12-20,27.53831672668457,2016-12-27
CDfJSJRk5f4,Apple AirPods PRO UNBOXING y primeras impresione,UCm2TEW6GMo-uUEnAuk-kyCw,jose Tecnofanatico,2019-10-30,232634,7143,283,472,369736953,2030000,3250,59.63299179077149,2019-10-29,63.02532577514648,2019-11-05
AcXn7ZgLXwg,BeatsX vs. Apple AirPods ¿cuál es mejor?,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2017-05-23,692597,13813,641,874,84654230,656000,436,36.471004486083984,2017-05-22,36.38100051879883,2017-05-26
tp_evOtoqIQ,2000 TL&#39;lik Apple AirPods Pro Kulaklıkları Almamanız İçin 4 Neden,UC26buublzO30XpR-KP2TfAw,webtekno,2019-11-24,683901,25382,1913,2755,823347436,3120000,1254,64.35772705078125,2019-11-22,65.7025146484375,2019-11-29
ich81gzdeDQ,"Apple Airpods, os fones de 1399 reais. Valem a pena? (fones TWS) [Análise]",UC_bXJnsgwOqEPA_-6N6faKw,Canaltech,2017-01-19,645946,24321,525,1458,449473094,2610000,4047,28.17945671081543,2017-01-18,28.623313903808594,2017-01-25
gLvINU3Cuwc,"Копия Apple Airpods Pro за 4000 Рублей, Которая Смогла! Сравнение с Оригиналом",UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2019-12-25,645071,26595,1133,1922,118404053,753000,757,69.88681793212889,2019-12-24,72.19286346435547,2019-12-31
ZX92ZfJwW_U,BlackPods Pro и Точная Копия Apple Airpods Pro с Алиэкспресс!,UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2020-03-11,353638,13031,496,608,118404053,753000,757,70.31636810302734,2020-03-10,62.31230926513672,2020-03-17
dK3WgJhbgfY,Это Лучшие Беспроводные Наушники Вкладыши! Vivo TWS Уделали Apple Airpods,UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2020-07-02,349824,15621,482,1554,118404053,753000,757,90.7071762084961,2020-07-01,95.00699615478516,2020-07-08
bzauyDutbNY,Samsung Galaxy Buds (Black) vs Apple AirPods Pro (Not Black),UCwOCcE4enBgo4DenWHv0JYA,Shane Symonds,2019-11-13,639267,8997,317,2082,35807829,145000,116,64.4019775390625,2019-11-12,65.46650695800781,2019-11-19
_aS2Arxhcgs,RECENSIONE Apple AirPods auricolari wireless!,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2016-12-18,639642,14310,252,943,434798217,1080000,2471,27.235361099243164,2016-12-16,27.36452674865723,2016-12-23
1yVPJVtLr0w,Recensione AIRPODS PRO APPLE e CONFRONTO AirPods normali. TEST anche su ANDROID,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2019-11-05,538002,14117,242,783,434798217,1080000,2471,63.116004943847656,2019-11-04,64.46099090576172,2019-11-11
8kLLnsCjeYc,Apple AirPod Pro Must Have Accessories!,UClQQoervgLHV2pAOxHJ16NA,HotshotTek,2019-12-23,637823,8517,939,294,47507434,127000,543,68.69938659667969,2019-12-20,71.24635314941406,2019-12-27
Noq0z5ACPQI,So sánh tai nghe Galaxy Buds và Apple Airpods,UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,2019-03-15,619558,6856,299,459,857575882,2000000,4689,44.69163131713867,2019-03-14,47.45490646362305,2019-03-21
hkoWCX8sQf4,AirPods Max 🎧 Unboxing and First Impressions!,UCey_c7U86mJGz1VJWH5CYPA,iJustine,2020-12-10,625654,33771,3105,4322,1242679012,6810000,1984,,,,
AYdyBdQvAJE,How to customize the settings on your AirPods or AirPods Pro - Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2020-01-28,613447,9287,268,522,55309626,734000,263,75.95431518554688,2020-01-27,75.88301849365234,2020-02-03
JIhEgcypQQg,How to connect AirPods to your iPhone or Android device - Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2020-01-28,330161,3070,118,236,55309626,734000,263,75.95431518554688,2020-01-27,75.88301849365234,2020-02-03
RHCmtN-7xR8,Полный обзор беспроводных наушников Apple AirPods,UCT8ny3aoHGFPILpCsFuEq9A,Citrus,2017-01-18,597396,7451,505,573,122609834,540000,1463,28.18180084228516,2017-01-17,28.17475700378418,2017-01-24
tRKKknymi9Y,"Gifting My CAMERAMAN SUNEO GADGETS😱😍- Airpods Pro, Apple Watch, Smallest Phone",UCZ2AtDVMLq16wTxyMny0rQg,Master Butter,2020-11-11,596507,39325,2052,2139,97871875,690000,251,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
yYAjnEqjzmA,Why you NEED AirPods for your new Apple Watch,UCUUNkL6Wke6i0P6funa7wdQ,AppleInsider,2018-12-31,580493,5648,554,404,170680864,531000,1269,37.84006881713867,2018-12-28,35.909671783447266,2019-01-04
s1utHuPAqxg,$550 AirPods Max Are OFFICIAL! Everything You NEED to Know Before Ordering!,UCUUNkL6Wke6i0P6funa7wdQ,AppleInsider,2020-12-08,83935,1540,391,854,170680864,531000,1269,123.08000183105469,2020-12-02,,
iJ1vrNCemFc,Apple Airpod Pro w/ Active Noise Cancelling - REVIEW,UCcGYJndqreqXMUZoOhn3E7A,JimsReviewRoom,2019-11-07,581244,14665,276,1627,167670432,999000,619,63.052284240722656,2019-11-06,65.01905059814453,2019-11-13
v8uq7P2cjb8,The Truth about Apple AirPods Pro !,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,2019-11-14,574132,37153,1189,1857,447078121,4440000,648,65.01905059814453,2019-11-13,64.70437622070311,2019-11-20
kYRghnqGt7o,Huawei FreeBuds Pro vs. Samsung Galaxy Buds Live vs. Apple AirPods Pro,UCzwe0YWblwBt2B_9_d-P44w,Pretty Tech,2020-10-27,874101,301,120,21,9088656,27200,427,114.8518524169922,2020-10-26,108.5826644897461,2020-11-02
N7bT56mrDF4,5 cosas sobre los Apple AirPods que debes saber,UCx_lYLRAnOwYFWrbfwAs0iA,iSenaCode,2017-01-03,527298,5976,365,274,81952402,391000,2309,27.20013427734375,2016-12-30,27.944602966308594,2017-01-09
