videoId,videoViewCount,likeCount,dislikeCount,commentCount
-7LsKF_y3YQ,414085,5996,693,298
-G2UqThvTnc,890073,15889,545,1179
-dkfZuT7OCE,815711,23280,816,2003
0Dfz6gg-sEc,369778,3065,344,168
0IkQZToTsFY,470481,6945,875,715
0ax6sHwTV9g,964,26,3,10
0zMxtkwlDCY,499410,60281,1252,3374
12eZhMsdNTU,5192,13,0,2
1BOhPA02-U8,25136,511,122,166
1DSCo47MMbE,1166973,45559,2021,3642
1LBuf09MvgY,350496,8220,254,476
1Zn_qVk8--8,21286,280,47,40
1hj5pHORU84,150328,1967,1636,557
1koOopbLEeI,63380,2545,34,263
1tevNcgX1wo,192218,14766,1398,1001
1tpU8cpgY1I,398916,5796,165,654
1yVPJVtLr0w,538002,14117,242,783
1z39FTgcrEM,887559,25484,1599,2753
2-PBu5YmqEE,56499,2437,117,225
26cs_wD7NAs,49008,3771,67,557
273ORHGE-Sc,24292,314,46,84
2FvJ-Wn0_4k,410691,23209,855,2820
2JXUWd20aNw,804751,8955,344,910
2LhR9KvQF1k,1027,25,5,11
2NAS90hLbeM,123917,3582,81,422
2WA6pSziFSo,215095,3777,238,182
2_miomcrvb0,190041,2299,418,285
2bzTt-8oUs4,141332,14897,166,2009
2d_k59H4cik,441926,7381,636,788
2xn6NZTE0Z8,193687,7919,523,835
308MeJOe8h4,19927,207,13,43
39STbHMnGxI,237929,2772,300,412
3WJ5Mzc1yZc,2267,274,8,76
3fPNnfQumHw,1277949,8030,3710,2247
3iPrHLaeDno,159669,5213,109,225
3m1jsTjABDo,28648,3162,53,460
45z3dsiSmck,76060,1774,162,551
4M-NE6r3Kt8,20070,1471,90,394
4XhYTych9fY,2995,183,4,38
4yvcfkTNzrE,859769,32009,1220,1748
59S_h1wSZAU,5208,224,72,88
59XUHgubIyo,68990,964,70,400
5GGtu9iphew,87904,1643,137,88
5alB4kANEhg,10484,707,27,218
62Zg_ox3Ozg,16924,586,39,73
6NI2FFzYjXQ,24570,1189,54,114
6r33bTc265I,744688,68867,3186,7741
78vI8X0IkYk,1138,141,4,82
79rZE6vtpWM,54891,945,26,177
7AXoOSAMQrU,8236,139,37,5
7BK092eRRVo,55340,954,35,145
7Bf020nm-DU,167620,3363,195,331
7ejkhsM8o7U,8108,641,40,160
7m4YEBxrCy4,1467,28,0,8
7nMzDUXo6Kg,55453,4722,97,325
850gpdHPvQE,87971,869,52,90
85udy5fMC8g,24654,182,31,41
89NmhJZ3WE4,97846,5969,260,324
8MWivvEU8VE,4118,194,3,30
8NYiO_0xLcE,158804,5002,209,1962
8Rzy0zH_-Ik,827,44,1,18
8iNnmJabT70,399587,4710,457,363
8kLLnsCjeYc,637823,8517,939,294
8z17HAA-moY,275868,16813,416,1584
95V0r2mHNi0,26146,807,31,303
96_ptERtl6c,12699,975,19,355
96rtWdspIQM,44236,1176,27,197
979MEr-WqDQ,11161,184,11,19
9Z9xcrFGSLo,238400,2190,233,263
9aY-bzvmKhs,4001,142,8,43
9m6M2RAcGDM,105297,8109,498,454
9til1heyUGU,14376,1094,19,194
AYdyBdQvAJE,613447,9287,268,522
AZy5CoKWK04,469825,5944,236,1264
AcXn7ZgLXwg,692597,13813,641,874
AcnhtsXjEuo,29725,1177,249,306
Ah__DrW8228,157889,5090,279,557
AvIQeohgPD8,368786,4600,200,357
BJ2TxY7puEM,1510228,46934,2748,4807
BQHilbdIpPY,267635,3746,313,433
Be6wNcUuQm8,36545,1677,60,411
Bn4bgouatjI,646056,12007,451,683
C5T6kr-jp34,5803,396,8,160
CAbJ-KJb6Vg,29085,2478,68,479
CAo_aifKu_I,55864,3932,62,216
CDfJSJRk5f4,232634,7143,283,472
Cd4N5v-O3uk,1536258,38379,2223,2326
CmdAC1Fc9ow,88832,2557,93,259
Ctad-cwbbus,2185,209,3,56
CzuhImeZv-U,6000,368,6,97
D-Ph35SlNOg,173124,5151,365,2244
D260-GqGOO8,416905,3709,494,817
D4Od5eWPP04,23647,857,7,156
D8xjeWyi3dg,26563,541,39,114
DRoG7Ly8vJY,2005,151,6,69
D_Tzrd8nzlc,38608,1360,16,606
Dh-ia81C5Ko,777038,10626,867,933
E4EyugfYwNo,75719,4356,41,775
E65Tj5SZZEs,55342,1613,60,134
E9W8_6fY_1Y,336436,1375,125,45
ENXYxqL-dB8,181706,10368,425,1187
EWDGjm3W2Jo,42447,329,38,27
EbN9q1YQzlA,6541,370,22,31
ElnuayHz7iQ,1847,7,0,8
EtvkG7bpUlU,384859,4557,306,864
EyKwxrxyhpU,6637,116,34,17
F6Pk7qoJ4c8,19301,317,25,76
FVVfKAe8kso,9375,383,14,96
FsqyQVYuoOM,46128,559,24,56
Fv2Je36e0vk,10139,205,3,31
G43aM9w7v3g,83406,2255,185,400
G8GiXApjzVM,296415,6578,219,717
G9YOOCdshOw,354523,6074,366,802
Gl9vukxJNGw,32076,4017,64,705
Gm15e4dNc2o,174828,3917,223,730
H54oLelvMG0,266035,4161,285,960
H5N5f-zqen4,234220,12954,461,1176
HAhMFRyySg8,9453,711,12,140
HAswMMu9JRQ,5117,314,15,115
HFCVScvGmIs,104959,1217,167,57
HJ2rAxaHiGw,10260,1118,22,151
HQubCGiSjkY,62833,2348,96,479
HT8zxm9737Q,9987,699,16,147
HTeFoIUlAkA,131561,3127,390,772
H_JkvHkmcYE,120166,410,83,16
HhviaR57Wuw,58859,2516,42,214
HmXPNQ7RmcE,16795,527,12,48
HowBRtQXmZI,77870,1453,88,192
I2-M9nvbsio,1259688,52700,2396,3507
IR3ztt5ukE0,267072,3009,161,769
IW6YgmB_MIE,121857,1017,1123,338
IXba28jm8ro,85031,1813,35,212
IZMm0ts6_5I,104380,1819,49,929
IsAufcwdjE4,483846,9344,1594,1671
JAWfrUx_EFg,35063,1082,128,139
JF_wpY8BqK8,386885,5191,277,697
JH-fFfAWldc,793243,14901,280,1615
JIhEgcypQQg,330161,3070,118,236
JM5SNsRU-Pg,12157,559,35,39
JjJELHkUlQg,25882,260,31,35
Jw4I_-_7W9s,23724,599,22,180
JwGo15w6NK8,29158,295,19,39
KeKSbAS1iI0,26719,1694,62,272
KglGWvN5ShY,1561,79,4,12
Kk9lMqy6KTI,189157,4413,129,846
KnbeTnWWVeE,214830,10768,619,559
Kz38ElbTZtI,12715,130,12,0
LI8V6PcOdZA,147005,5867,267,411
LJ26wAFbA7E,75014,8997,175,1471
LSjbQsv2JwM,241286,27156,618,2602
LgEJe5ZYPSU,500857,3638,192,416
Lt9MGFFGCqE,90363,4521,121,255
LtsMcxqBdzg,1360,3,1,2
Lz6QnrrEK3A,353946,3864,374,276
M7tZFcxp8EQ,9062,103,7,15
MXwd0J42KIE,88086,1720,305,280
MnWokE9nfAo,16221,571,20,130
MvDUFgb8NhU,3104,71,13,20
N-n4U3-j9dw,975387,16745,613,1146
N0-RQceVGrU,29606,1518,54,265
N7bT56mrDF4,527298,5976,365,274
NHevgWguJAw,50986,143,96,11
NIkVg-zuTNQ,137703,2834,37,99
NPWCuA_8Zws,294630,10440,239,2317
NWJImxIwBNI,128999,1709,64,253
Nf6cI4zHX1w,48050,775,42,288
Noq0z5ACPQI,619558,6856,299,459
NvjmJbjQSkU,523510,5262,424,676
NzGQCbvlOqc,6594,185,6,41
O0bk9MSmnHw,421864,5628,296,501
OJpZ_hCOJB4,5382,33,26,46
OsDw5N9AQcE,104051,2570,99,168
P-b23DR8k5c,21697,1259,84,181
P70-YXJZMTE,3755,46,2,1
P8Ia7OR8_u4,129033,3981,107,461
PB5SEJcPMi4,44367,1467,107,431
PB7gSMho0tA,52999,882,63,365
P_cNQbAXP6g,420762,3844,180,561
PaFL3rlqnqM,60999,2636,53,167
PdA-PoJ-vMQ,42923,397,41,88
PkX5GuGu-hs,6008,92,2,13
Pt_gHdXePl4,157391,717,67,86
QG1XKH94YsI,78714,4975,437,402
QN9UrusZ8ls,1195161,57925,2127,26989
QRh0cmfZPqU,110900,3147,196,295
QbKmVo1XOrU,730154,14287,614,849
Qp4UlyhvW5U,237096,1299,223,239
R8MbHLR_GqY,23999,978,103,165
R8O102BDsq4,3649,31,4,3
RE7xzLzp52w,992787,5074,1216,351
RGuBkl_0XeA,263163,4174,90,182
RHCmtN-7xR8,597396,7451,505,573
RmQRzK232qY,51951,746,28,169
RthC_-7pijc,5598,424,12,58
RwrpqZYUzoA,71788,985,55,184
S9uIVjzc9Kc,10417,618,26,179
ShKUE2Gk6Es,1105347,23025,610,2197
T2_Rn81W82c,11739,575,96,104
T4pTPvF9Nfw,3762,60,7,10
TJTj_m8BgC4,303549,3004,83,392
TgN2HB5QnB4,29401,974,21,144
TjedP6NgOXo,685658,13936,685,2900
TzMofv1IE7A,978,26,3,17
U6qB59Cersw,20563,534,18,242
U7mmdnM0UG4,152283,1595,73,323
URYvChlUuws,4351,486,6,30
USCJ0DhL4LE,3473,334,11,195
UY3TiU5vmSc,73017,2077,25,1049
UfQEbUmcm2U,334315,14701,455,1347
Ur-V8USLsRg,14558,441,8,82
V4NWwUuVIrM,1505799,25088,2966,1889
V4Pq6nvbaa0,266463,1624,112,173
VHZRVfxYk6A,181070,6216,150,756
VOT0uzud2co,125503,7048,235,981
VXItiaSlvdM,27313,454,151,122
W3emVWvL57I,63770,783,79,16
WFr9OSnmvjA,249987,10997,369,829
WGDNjMoM3V4,61210,1722,81,136
WGUlNJh261k,310895,3583,246,702
WN1MTuqOraA,121776,5290,107,357
WR-rx288N_U,310354,6720,136,433
Wf6qLMYkXSg,26516,1020,27,392
WkFim32_Sr0,174173,11757,187,950
WpeQMg6YUH0,498910,8952,101,323
WsE-OjIZtGc,34455,5591,28,114
X4R22ykLicA,7209,283,18,61
XB0xdXVmSng,107328,3231,168,1003
XKWM25yN0wc,525919,28002,844,4455
XOdWkAzWZu8,11710,262,7,76
XiO9fNzWjSI,241881,7026,346,764
Y1g0dWhETrU,6563,505,33,77
YX9V3DEFTRc,989351,29173,919,2171
YdT1or7Vhkk,324449,1708,181,248
YfDg-f7o0mo,3141,62,5,29
Ylp1fn6z91c,72373,2387,62,306
YyIhwKCZAMo,10721,148,9,14
Z2eIXnYZjKw,7043,138,34,32
ZA3W-EXrLE0,220212,3162,382,493
ZHRgpdsYJow,1151537,14561,1034,756
ZLCMVQkmCBo,16915,145,28,40
ZOrjp89qKSM,164857,5217,121,833
ZR1OQmLoyI0,151466,2652,39,221
ZTCD-IeKog8,32595,2066,137,247
ZTvVwkTNago,945,24,1,3
ZX92ZfJwW_U,353638,13031,496,608
Zi2O5eBZ4LA,59862,2461,107,232
Zivtem0-zGk,67649,2717,91,705
ZogkH14A4gQ,3703,313,4,11
_-LkzzizEUw,226291,2153,98,212
_HL6MlQvmFA,25489,508,24,131
_KJ2ttclOFs,267660,11265,558,960
_aS2Arxhcgs,639642,14310,252,943
_lbYW-FIaug,1243480,12863,637,805
_uqZqkF0ASc,37999,2063,125,605
_xeFiAV3dQY,90254,3198,145,375
_yC6kA7-HMM,48260,1888,173,261
a30REUDpe1k,26139,968,20,150
a6iFZp1HoHI,952119,26073,630,1083
aJBsYRNK-NQ,103968,1010,118,161
aJtcJQxjJCE,22357,190,41,49
aQ8TrdA5E7E,925435,15395,838,1904
aRDJ4PVVZgE,14686,1190,107,182
a_UcxYWQjM8,158003,6067,188,461
ac4tdZNbIMI,145936,6222,167,765
agWhQK4-zhg,3009,94,8,13
aoLN522d1cU,258099,7165,247,951
aoSFrUhSgCI,737362,15060,947,1188
asZBZFph-W4,162119,4574,178,451
b36aZQe0Nt4,1624711,9146,1206,546
bA2i9knUPEs,184646,2576,158,321
bOg319-o6Ks,792266,9113,515,745
bTHRKrVNs24,564003,6054,227,255
bgjsGMC-CXM,490109,13705,296,1703
bsZAFhVsiaY,294959,11522,221,1883
bvLdWBgvC50,11766,201,15,47
bzauyDutbNY,639267,8997,317,2082
c5hIiqD_yVU,3310,122,20,113
cNfZXZWwzcs,14021,1512,33,199
cUKT-_ugJXY,19924,582,18,105
cVpWEmMCLOs,10726,248,18,61
cYuL6pHfbTU,1552434,18230,737,1951
c_DUWw2momA,987323,23564,464,1151
cal82jdyw7s,192200,9068,2316,4365
cbKaoZgcXgg,18789,891,194,105
crKwxmRItiM,45944,8039,60,1208
d-u45GNwVHA,59262,6725,70,214
dHxE9vLQ_WU,25491,913,13,99
dK3WgJhbgfY,349824,15621,482,1554
dUWTCTFYJvc,237900,6022,175,445
dYKQOTKWH3A,40879,703,40,226
dYaxwv4AvyE,11276,171,12,50
dasHcgXup_Q,196901,2166,148,474
ddzaQZGSNG4,85481,7225,188,510
dfgOYUrWwJg,150417,2710,154,330
di0qMNpUWiQ,352001,6934,243,903
doe2yEheTTo,194258,7721,367,961
dppRFexjTYQ,152672,10141,163,231
dt-Jw_FfvEI,107048,1302,546,213
eMYnRY-8xE0,1393213,36036,1407,1155
eU7ANMsFnlM,388179,6721,205,422
eZXjqAot5cc,1288,1,2,0
eftzTiwCGdk,131039,7930,118,887
emejH9Krx0E,7736,1177,16,147
entaNxaezRo,1567958,34991,1447,2472
eqfLk2M1zyw,1465,109,3,32
et3hskLscz4,34417,1300,31,273
fhZmWyDBfB0,7485,164,4,78
g1o7Dw4HaXc,91090,4656,460,775
gC0s8ds3WFQ,70181,1450,82,221
gIaraa91RE0,488281,5325,197,661
gLvINU3Cuwc,645071,26595,1133,1922
gNmd_ksaFns,263485,3632,115,368
gOK5SQJ1QB0,367117,25560,763,2165
g_qFx_MVlwk,183195,1364,115,85
gccnIAVTEb8,11790,500,13,157
grjkeXTB72g,838582,30041,1829,1118
hLWRnio-jqc,83541,770,163,85
hTKRSY4zJ1Q,3425,48,25,21
hY1a94niwpY,147138,6341,61,221
hf8EAbDjrjM,46493,515,19,100
hkSLgPcq1oY,91347,7626,175,521
hkoWCX8sQf4,625654,33771,3105,4322
hnHpHzMIN2M,12180,343,50,76
htEAGFpmy64,249574,1122,266,129
i-UU2u5KC58,7420,35,2,7
i2N0gUHBgmo,70694,395,1075,311
iBWwBkqJaHo,164422,11839,663,1876
iJ1vrNCemFc,581244,14665,276,1627
iSrhioWdgII,5745,241,4,101
i_ITC7AHdEg,249106,2807,222,321
i_hVkMe94nQ,1056,29,3,2
ich81gzdeDQ,645946,24321,525,1458
if5_fK8F4ow,1128305,14343,1716,925
ildCgYUOm_4,12122,823,61,174
inLVepnDuY4,55639,1013,101,152
iyKDM5bO7WY,8594,184,50,78
jMRz_WaBcRk,56725,8347,322,784
jUiZD0rds4Y,280532,3326,178,593
jXxAU-bNVlY,133876,11308,402,965
jaj-JyNykxU,10993,1019,31,94
jkUMblxVV5c,893352,9287,337,824
kDQAmIV4c44,255667,3510,112,302
kGeJeLItPKQ,17528,310,21,138
kJw1o-wR7oI,61327,2355,203,168
kQni1O7ddfs,131002,5285,235,738
kT5xAzSirV8,154440,4387,337,299
kYRghnqGt7o,874101,301,120,21
kcRCs0wjfCg,301571,12170,664,509
khxwPHj-j2s,499819,6214,511,498
kxy6AwMOKV0,71774,946,81,89
l2v9XRyooS4,142127,1742,124,456
lFf-W5rmjJE,17078,226,19,56
lNawbTd-t-k,130317,2291,102,39
lVsR3SH7myo,10735,88,13,13
m-1gUUsKpMk,737383,34360,525,1243
m9Ku88nyRlU,2240,260,8,72
mDJgxIPYJuw,2184,22,1,5
mdOSPBrqc7E,135477,2675,170,702
mpWOlhriVW0,929093,18183,571,2830
mqNDCRR0aNo,1923,115,3,65
mrvHN4LAucQ,101853,4739,123,464
nAbe1wAYDTg,202728,5887,119,536
nHq9xc30I44,5255,8,0,2
nIBnjFC3JNc,1426,10,0,4
nIk8YnCGckw,310635,11517,547,2358
nKjvSCnmpUs,296434,1370,146,190
nW7ZTX1qumI,45685,441,70,316
n_1loi1iqj4,6076,53,104,53
non3wgqwmS0,1055186,30127,1197,2401
nuCjFte2FaM,104100,899,34,125
nw3oHG8FA3w,203128,1724,136,300
oH2cZrEv934,801101,9325,572,1066
oOdT1Nwj0t0,193184,15746,219,1619
oW9bhEIYHhM,66904,1470,53,456
ovm4d7wfkkg,32239,538,64,126
p5aaOtJ0PyU,1601052,32848,1309,3153
p6l4sNjSKdY,1200950,11152,437,1043
pANQXm9j0k8,47211,440,50,50
pLlVS_48qL8,87456,1856,131,370
pZeZ5CvMJKE,37921,870,56,132
pfIbPGhogbk,51609,471,43,116
plgG-pCaLqE,362792,3752,220,799
ps0rWwQAJHg,1493033,25056,1306,1478
pzpu9pL8qoA,282545,4341,161,339
q2521SzqBWc,5902,80,24,10
q9ugwJQMeQU,6754,233,8,42
qFQQvUiXarw,13852,7,3,0
qXvBHPp2158,261913,9475,290,2283
qvddoC8O_0c,10915,87,1,26
qwB5ynQaZsM,283720,14384,2430,1212
qxG5ZPWRilI,42307,901,70,81
rMSpHtTHJCE,1734,154,7,16
rklgsLqX-XU,432628,6061,431,713
rrdJF06UcHQ,4913,674,40,111
s1utHuPAqxg,83935,1540,391,854
sLC-9WrnP_U,35411,457,46,120
scoCVAk7_JI,1240283,33365,735,1905
sgveEzR5iD4,44432,1319,20,114
snER3maFUwI,10862,928,87,159
sqwS5nXpfVE,15043,288,22,87
sucWVYVpijY,15124,172,47,220
tAjArOd0jhg,1017,86,3,17
tRKKknymi9Y,596507,39325,2052,2139
tS2Y6tAebA4,19309,631,72,212
tT1ypIGnR3I,39702,1703,61,226
to_d4g9SPYo,118215,1055,91,82
toboYcW3HjY,57974,1918,84,280
tp_evOtoqIQ,683901,25382,1913,2755
tu6JC97gwtQ,14274,80,11,34
uFONoN0zmLg,1478314,34825,934,5605
uKJKf-ooOhM,201510,3396,134,577
uMPgiBAteDk,38431,2211,68,296
uPwUMRHk0S4,103096,477,134,38
uayCJxVy7rU,465249,6866,675,756
ueaos26iHOg,34249,1576,97,518
ufU7xpzrS8o,43695,2208,108,388
umgzR-3hLKs,28899,625,36,65
v1PZ1H8UEzc,9459,275,7,130
v8uq7P2cjb8,574132,37153,1189,1857
vSakXSC1H30,39727,1664,80,270
vl6TXNyblqw,104301,2263,39,243
w4GJ6WTFZWs,3658,492,5,58
wLUJ9VNzZXo,235093,12467,146,493
wTgSKURRcYQ,62447,2557,575,694
wf3H7WhnwgM,123230,1715,58,188
wou-FTx1XlI,3375,93,4,25
wtvTIQFvIPQ,43587,624,54,127
wvgWMnmRTSM,1605,24,1,1
wy5AmYeB1YU,17238,329,38,120
x4hFgEgJbLE,51841,2133,52,181
xG5pe9oKWA0,10120,810,16,85
xH9h93XwWFw,133969,14344,147,1422
xfxfZMIqjDc,115544,9499,163,443
xpXyi6cUH9c,33196,642,22,88
xqgppNkp4To,312814,7726,646,420
y27iyDKmXGc,48785,1353,94,303
y4oQwoi4xT8,67784,403,33,171
yFkTitCqwo8,3334,37,8,21
yJDNVsIA3Ys,190259,5886,483,520
yM89CTKxDU8,16113,1765,50,229
yU13joK77Q8,116762,1612,79,168
yYAjnEqjzmA,580493,5648,554,404
yg6jv2DI048,823973,7979,597,617
yk76mQmRSdg,109607,606,103,99
ynXCtZHoGXk,55107,395,47,38
ypNMkiGmAHE,288861,9270,435,991
yqv3DPIad9s,770524,7385,393,1000
zcEAE1sQvZ8,32103,478,14,94
zdIDmioPEEU,160200,1954,174,123
zePo8yJnTCc,32004,3418,139,551
